TLAB,1S0,3S1,3P0,3P2,3D1,3F2
1,62.07659,147.64721,0.18078,0.02242,-0.00494,1E-05
,0.01832,0.01008,0.00032,8E-05,1E-05,0
5,63.66045,117.9535,1.65748,0.25751,-0.18001,0.00151
,0.04398,0.02214,0.00333,0.00077,0.00046,0
10,60.02014,102.29182,3.75354,0.7266,-0.67115,0.01086
,0.0626,0.03053,0.00835,0.00192,0.00182,1E-05
25,51.0708,80.1358,8.47911,2.62714,-2.78785,0.09054
,0.09867,0.04423,0.0211,0.00509,0.00918,0.0002
40,44.7583224576792,67.5521771679712,10.7375414398972,4.6992151442391,,
,0.128783382471525,0.050637932982787,0.028971749908367,0.007737635652993,,
100,27.21011,42.71247,9.13967,11.06226,,
,0.2305,0.05269,0.05727,0.01827,,
